patnum,assignee,pgpub_id,assignee_cleaned,cik,company_name,Cleaned_company_name,Score,Score
5887951,"BACKJOY ORTHOTICS, LLC",,backjoyorthotics,1627459,"BackJoy Orthotics, LLC",backjoyorthotics,100.0,100.0
5261865,Backsmart Inc.,,backsmart,1166427,BACKSMART INC,backsmart,96.2962962962963,96.2962962962963
5513102,BACK PAGES INC.,,backpages,1589990,Backspaces Inc.,backspaces,86.66666666666667,86.66666666666667
5879631,BW TECHNOLOGIES LTD.,,bwtechnologies,1082064,BACKWEB TECHNOLOGIES LTD,backwebtechnologies,86.36363636363636,86.36363636363636
2461869,Balton James,,baltonjames,1189631,BACON JAMES,baconjames,86.95652173913044,86.95652173913044
2574692,Bacon William,,baconwilliam,1252280,BACON WILLIAM,baconwilliam,100.0,100.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"Bacterin International Holdings, Inc.",bacterininternational,85.0,85.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"BACTERIN INTERNATIONAL HOLDINGS, INC.",bacterininternational,85.0,85.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"Bacterin International Holdings, Inc.",bacterininternational,85.0,85.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"BACTERIN INTERNATIONAL HOLDINGS, INC.",bacterininternational,85.0,85.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"Bacterin International Holdings, Inc.",bacterininternational,85.0,85.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"BACTERIN INTERNATIONAL HOLDINGS, INC.",bacterininternational,85.0,85.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"Bacterin International Holdings, Inc.",bacterininternational,85.0,85.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"BACTERIN INTERNATIONAL HOLDINGS, INC.",bacterininternational,85.0,85.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"Bacterin International Holdings, Inc.",bacterininternational,85.0,85.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"BACTERIN INTERNATIONAL HOLDINGS, INC.",bacterininternational,85.0,85.0
5788401,"Boart Longyear International Holdings, Inc.",,boartlongyearinternational,1453593,"Bacterin International Holdings, Inc.",bacterininternational,85.0,85.0
3964139,"BAXTER INTERNATIONAL, INC.",,baxterinternational,1083672,"BACTERIN INTERNATIONAL, INC.",bacterininternational,92.5925925925926,92.5925925925926
4976955,"BML PHARMACEUTICALS, INC.",,bmlpharmaceuticals,913614,"BACTOLAC PHARMACEUTICAL, INC.",bactolacpharmaceutical,85.18518518518519,85.18518518518519
2652618,Bomac Laboratories Inc,,bomaclaboratories,1207098,BACUS LABORATORIES INC,bacuslaboratories,90.9090909090909,90.9090909090909
2614363,BOLA TOYS Inc,,bolatoys,1070510,BAD TOYS INC,badtoys,88.0,88.0
2614363,BOLA TOYS Inc,,bolatoys,1200268,BAD TOYS INC,badtoys,88.0,88.0
1893855,Baer Alfred,,baeralfred,917628,BADER ALFRED R,baderalfredr,88.0,88.0
1569906,Baehr Charles,,baehrcharles,1335057,Bader Charles W,badercharlesw,85.71428571428572,85.71428571428572
2741818,Bader Irving,,baderirving,1521516,Bader Irving,baderirving,100.0,100.0
2741818,Bader Irving,,baderirving,1521516,BADER IRVING,baderirving,100.0,100.0
2887081,Bader John,,baderjohn,1361036,Bader John A,baderjohna,90.9090909090909,90.9090909090909
2887081,Bader John,,baderjohn,1713544,Bader John M,baderjohnm,90.9090909090909,90.9090909090909
2949254,Bauer Richard,,bauerrichard,1007912,BADER RICHARD F,baderrichardf,85.71428571428572,85.71428571428572
2578662,Bader Stephen,,baderstephen,1260917,BADER STEPHEN M,baderstephenm,92.85714285714286,92.85714285714286
4671812,"BHA Group, Inc.",,bhagroup,1634305,"Badge Group, Inc.",badgegroup,87.5,87.5
5052094,BERGEN ACQUISITION CORP.,,bergenacquisition,1637804,Badger Acquisition Corp,badgeracquisition,85.1063829787234,85.1063829787234
6129732,"BANDERA ACQUISITION, LLC",,banderaacquisition,1140955,BADGER ACQUISITION LLC,badgeracquisition,91.30434782608697,91.30434782608697
5042540,BAKERY HOLDINGS LLC,,bakery,1689524,Badger Holding LLC,badger,86.48648648648648,86.48648648648648
1577731,Badger Meter Inc,,badgermeter,9092,BADGER METER INC,badgermeter,100.0,100.0
2872855,Badger Paper Mills Inc,,badgerpapermills,9096,BADGER PAPER MILLS INC,badgerpapermills,100.0,100.0
2872855,Badger Paper Mills Inc,,badgerpapermills,846901,BADGER PAPER MILLS INC,badgerpapermills,100.0,100.0
